player,score
"['agent_Ann', 'agent_Hieu_val', 'agent_Hieuuu', 'agent_Chi']","[20, 13, 9, 6]"
"['agent_Ann', 'agent_Hieu_val', 'agent_Hoang', 'agent_Chi']","[15, 12, 11, 7]"
"['agent_Hieu_val', 'agent_Ann', 'agent_Chi', 'agent_HungThom']","[15, 9, 7, 7]"
"['agent_Ann', 'agent_Chi', 'agent_Hieu_val', 'agent_Khanh']","[15, 13, 10, 3]"
"['agent_Ann', 'agent_Hieu_val', 'agent_Chi', 'agent_MA']","[19, 11, 8, 8]"
"['agent_Hieu_val', 'agent_Ann', 'agent_Chi', 'agent_NA']","[17, 12, 12, 11]"
"['agent_Ann', 'agent_Hieu_val', 'agent_NhatMinh', 'agent_Chi']","[15, 14, 12, 4]"
"['agent_Ann', 'agent_Phong', 'agent_Hieu_val', 'agent_Chi']","[15, 14, 13, 7]"
"['agent_Hieu_val', 'agent_Ann', 'agent_Chi', 'agent_random']","[15, 12, 4, 2]"
"['agent_Ann', 'agent_Hieu_val', 'agent_Chi', 'agent_Thu_Trang']","[21, 16, 9, 6]"
"['agent_Ann', 'agent_Hieu_val', 'agent_TongMinh', 'agent_Chi']","[15, 10, 7, 5]"
"['agent_Hieu_val', 'agent_Ann', 'agent_Chi', 'agent_xung']","[15, 8, 6, 4]"
"['agent_Hieu_val', 'agent_Ann', 'agent_Chi', 'Dat']","[16, 11, 5, 2]"
"['agent_Hieu_val', 'agent_Ann', 'agent_Chi', 'longlee']","[16, 13, 4, 4]"
"['agent_Ann', 'phi', 'agent_Chi', 'agent_Hieu_val']","[15, 14, 13, 12]"
"['agent_Hieu_val', 'Trang9PM_1905', 'agent_Ann', 'agent_Chi']","[15, 14, 6, 2]"
"['Trangold', 'agent_Hieu_val', 'agent_Ann', 'agent_Chi']","[15, 11, 9, 8]"
"['agent_Hieu_val', 'Viet_Anh', 'agent_Ann', 'agent_Chi']","[16, 12, 10, 4]"
"['agent_Ann', 'agent_Chi', 'agent_Hoang', 'agent_Hieuuu']","[19, 9, 9, 6]"
"['agent_Chi', 'agent_Ann', 'agent_Hieuuu', 'agent_HungThom']","[18, 10, 9, 7]"
"['agent_Hieuuu', 'agent_Ann', 'agent_Chi', 'agent_Khanh']","[17, 9, 7, 2]"
"['agent_Ann', 'agent_MA', 'agent_Hieuuu', 'agent_Chi']","[16, 8, 7, 1]"
"['agent_Ann', 'agent_NA', 'agent_Chi', 'agent_Hieuuu']","[15, 12, 7, 7]"
"['agent_Hieuuu', 'agent_NhatMinh', 'agent_Ann', 'agent_Chi']","[16, 10, 9, 3]"
"['agent_Chi', 'agent_Hieuuu', 'agent_Ann', 'agent_Phong']","[16, 12, 11, 11]"
"['agent_Hieuuu', 'agent_Ann', 'agent_Chi', 'agent_random']","[18, 8, 5, 2]"
"['agent_Ann', 'agent_Hieuuu', 'agent_Thu_Trang', 'agent_Chi']","[19, 16, 8, 7]"
"['agent_Ann', 'agent_Chi', 'agent_Hieuuu', 'agent_TongMinh']","[15, 4, 4, 4]"
"['agent_Ann', 'agent_Hieuuu', 'agent_xung', 'agent_Chi']","[18, 18, 14, 4]"
"['agent_Ann', 'agent_Hieuuu', 'agent_Chi', 'Dat']","[15, 10, 4, 3]"
"['longlee', 'agent_Ann', 'agent_Hieuuu', 'agent_Chi']","[16, 12, 8, 7]"
"['agent_Hieuuu', 'agent_Ann', 'agent_Chi', 'phi']","[15, 13, 6, 3]"
"['Trang9PM_1905', 'agent_Ann', 'agent_Hieuuu', 'agent_Chi']","[15, 3, 3, 0]"
"['agent_Hieuuu', 'agent_Ann', 'agent_Chi', 'Trangold']","[15, 12, 9, 7]"
"['agent_Ann', 'agent_Hieuuu', 'Viet_Anh', 'agent_Chi']","[16, 15, 8, 3]"
"['agent_Hoang', 'agent_HungThom', 'agent_Chi', 'agent_Ann']","[15, 9, 6, 5]"
"['agent_Chi', 'agent_Hoang', 'agent_Ann', 'agent_Khanh']","[16, 10, 9, 1]"
"['agent_Ann', 'agent_MA', 'agent_Hoang', 'agent_Chi']","[15, 15, 10, 6]"
"['agent_Hoang', 'agent_NA', 'agent_Ann', 'agent_Chi']","[15, 12, 4, 3]"
"['agent_NhatMinh', 'agent_Ann', 'agent_Hoang', 'agent_Chi']","[16, 14, 14, 13]"
"['agent_Ann', 'agent_Hoang', 'agent_Phong', 'agent_Chi']","[17, 15, 14, 10]"
"['agent_Ann', 'agent_Hoang', 'agent_random', 'agent_Chi']","[15, 7, 4, 1]"
"['agent_Ann', 'agent_Thu_Trang', 'agent_Hoang', 'agent_Chi']","[21, 15, 14, 6]"
"['agent_Hoang', 'agent_Ann', 'agent_TongMinh', 'agent_Chi']","[16, 11, 9, 8]"
"['agent_Ann', 'agent_Chi', 'agent_xung', 'agent_Hoang']","[18, 13, 8, 7]"
"['agent_Ann', 'agent_Hoang', 'Dat', 'agent_Chi']","[16, 10, 9, 7]"
"['agent_Ann', 'agent_Hoang', 'agent_Chi', 'longlee']","[15, 5, 4, 2]"
"['agent_Hoang', 'phi', 'agent_Ann', 'agent_Chi']","[15, 14, 11, 1]"
"['agent_Ann', 'agent_Hoang', 'Trang9PM_1905', 'agent_Chi']","[18, 10, 10, 4]"
"['agent_Ann', 'agent_Hoang', 'Trangold', 'agent_Chi']","[16, 9, 7, 4]"
